symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
ATOM,2025-08-28,win,stopped,50,39,60,67.2,67.2,True,3.2,,81.0,161.0,1.3720252930675272,290,True,50.3,ok,2025-08-28,America/New_York,4h,1037,2025-04-30 06:00:00-04:00,2025-08-28 19:00:00-04:00,2025-04-30 04:00:00-04:00,2025-08-28 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-29,2025-10-24,True,3.33,3.203333333333333,3.203333333333333,1.0,frozen_no_split_events
AUR,2025-12-01,no_fill,no_fill,50,18,50,0.0,,False,3.71,,63.0,123.0,2.4033143283036997,,,,,,,,,,,,,,2025-12-02,2026-01-29,True,3.99,3.7100000000000004,3.7100000000000004,1.0,frozen_no_split_events
AXGN,2025-06-25,no_fill,no_fill,60,13,50,0.0,,False,9.5,,51.2,69.0,2.714782208199003,,,,,,,,,,,,,,2025-06-26,2025-08-21,True,10.25,9.496666666666666,9.496666666666666,1.0,frozen_no_split_events
BIRD,2025-09-12,win,survived,60,30,65,50.6,50.6,True,6.11,6.11,57.9,126.0,1.5627621416782225,261,True,48.8,ok,2025-09-12,America/New_York,4h,953,2025-05-15 07:00:00-04:00,2025-09-12 16:00:00-04:00,2025-05-15 04:00:00-04:00,2025-09-12 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-15,2025-11-07,True,6.13,6.109999999999999,6.109999999999999,1.0,no_post_signal_split
BMBL,2025-12-01,no_fill,no_fill,70,13,80,0.0,,False,3.28,,59.3,61.0,2.27188487580538,,,,,,,,,,,,,,2025-12-02,2026-01-29,True,3.67,3.276666666666667,3.276666666666667,1.0,frozen_no_split_events
BMGL,2025-10-20,loss,stopped,60,34,85,5.9,4.6,False,17.67,1.4725,82.6,496.0,2.523592675348609,303,True,55.4,ok,2025-10-20,America/New_York,4h,1167,2025-06-23 04:00:00-04:00,2025-10-20 18:00:00-04:00,2025-06-23 04:00:00-04:00,2025-10-20 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-21,2025-12-16,True,1.64,17.673333333333332,1.4727777777777775,0.08333333333333333,corrected
BRAG,2025-09-05,win,stopped,55,5,60,19.9,19.9,False,2.67,,56.5,65.0,1.2246456266577697,253,True,41.0,ok,2025-09-05,America/New_York,4h,683,2025-05-08 08:00:00-04:00,2025-09-05 16:00:00-04:00,2025-05-08 08:00:00-04:00,2025-09-05 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-08,2025-10-31,True,2.665,2.67,2.67,1.0,frozen_no_split_events
BTDR,2025-12-22,loss,stopped,50,46,65,1.3,0.0,False,9.94,,59.4,136.0,3.0285676722643706,333,False,62.6,ok,2025-12-22,America/New_York,4h,1313,2025-08-25 04:00:00-04:00,2025-12-22 18:00:00-05:00,2025-08-25 04:00:00-04:00,2025-12-22 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-23,2026-02-20,True,11.28,9.94,9.94,1.0,frozen_no_split_events
CING,2025-03-21,win,survived,70,51,90,29.0,29.0,False,3.57,3.57,81.0,859.0,2.041305760583679,272,False,58.7,ok,2025-03-21,America/New_York,4h,925,2024-11-21 07:00:00-05:00,2025-03-21 17:00:00-04:00,2024-11-21 04:00:00-05:00,2025-03-21 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-24,2025-05-19,True,3.96,3.5733333333333337,3.5733333333333337,1.0,no_post_signal_split
CLPT,2025-12-08,win,survived,60,56,100,23.8,23.8,False,13.39,,54.5,183.0,1.2153846153846148,309,True,47.6,ok,2025-12-08,America/New_York,4h,1116,2025-08-11 04:00:00-04:00,2025-12-08 18:00:00-05:00,2025-08-11 04:00:00-04:00,2025-12-08 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-09,2026-02-05,True,13.69,13.39,13.39,1.0,frozen_no_split_events
CMMB,2025-09-26,open,survived,60,29,55,13.0,3.3,False,2.46,2.46,73.2,164.0,2.2756014412544676,267,True,52.2,ok,2025-09-26,America/New_York,4h,915,2025-05-29 08:00:00-04:00,2025-09-26 19:00:00-04:00,2025-05-29 08:00:00-04:00,2025-09-26 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-29,2025-11-21,True,2.64,2.4599999999999995,2.4599999999999995,1.0,no_post_signal_split
CNVS,2025-09-26,loss,stopped,70,33,75,7.7,3.7,False,3.3,,54.5,185.0,2.348924553056029,275,True,50.3,ok,2025-09-26,America/New_York,4h,967,2025-05-29 09:30:00-04:00,2025-09-26 18:00:00-04:00,2025-05-29 08:00:00-04:00,2025-09-26 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-29,2025-11-21,True,3.36,3.296666666666667,3.296666666666667,1.0,frozen_no_split_events
CRNT,2025-03-14,loss,stopped,80,7,95,2.9,0.8,False,2.43,,52.4,94.0,2.763604295834716,308,False,67.3,ok,2025-03-14,America/New_York,4h,1103,2024-11-14 08:00:00-05:00,2025-03-14 19:00:00-04:00,2024-11-14 08:00:00-05:00,2025-03-14 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-17,2025-05-12,True,2.73,2.43,2.43,1.0,frozen_no_split_events
CRWV,2025-12-05,win,survived,55,31,100,70.4,70.4,True,67.18,,52.8,218.0,4.725978651843078,339,False,70.4,ok,2025-12-05,America/New_York,4h,1402,2025-08-07 04:00:00-04:00,2025-12-05 18:00:00-05:00,2025-08-07 04:00:00-04:00,2025-12-05 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-08,2026-02-04,True,88.300003,67.17666666666666,67.17666666666666,1.0,frozen_no_split_events
DOGZ,2025-05-12,loss,stopped,60,50,75,92.7,0.0,True,14.53,,71.7,181.0,2.459341100098319,288,False,57.3,ok,2025-05-12,America/New_York,4h,865,2025-01-13 07:00:00-05:00,2025-05-12 19:00:00-04:00,2025-01-13 04:00:00-05:00,2025-05-12 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-05-13,2025-07-10,True,16.58,14.533333333333333,14.533333333333333,1.0,frozen_no_split_events
DOGZ,2025-07-31,win,stopped,50,47,65,115.4,115.4,True,7.7,,86.5,181.0,1.736109292804527,280,False,29.3,ok,2025-07-31,America/New_York,4h,951,2025-04-02 06:00:00-04:00,2025-07-31 19:00:00-04:00,2025-04-02 04:00:00-04:00,2025-07-31 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-01,2025-09-26,True,7.87,7.703333333333333,7.703333333333333,1.0,frozen_no_split_events
EVGO,2025-02-13,loss,stopped,55,42,85,11.1,3.6,False,2.75,,67.5,133.0,2.2480335687731547,320,True,41.6,ok,2025-02-13,America/New_York,4h,1179,2024-10-16 04:00:00-04:00,2025-02-13 18:00:00-05:00,2024-10-16 04:00:00-04:00,2025-02-13 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-02-14,2025-04-11,True,2.95,2.75,2.75,1.0,frozen_no_split_events
EVGO,2025-12-01,open,survived,60,39,75,17.0,17.0,False,2.86,,56.6,133.0,1.895285892663384,319,False,53.1,ok,2025-12-01,America/New_York,4h,1188,2025-08-04 07:00:00-04:00,2025-12-01 18:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,3.1,2.8633333333333333,2.8633333333333333,1.0,frozen_no_split_events
FCEL,2025-05-05,win,survived,60,27,65,112.4,112.4,True,3.78,3.78,87.8,120.0,1.0357047519398799,330,False,38.4,ok,2025-05-05,America/New_York,4h,1117,2025-01-06 04:00:00-05:00,2025-05-05 19:00:00-04:00,2025-01-06 04:00:00-05:00,2025-05-05 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-05-06,2025-07-02,True,3.76,3.78,3.78,1.0,no_post_signal_split
FNGR,2025-08-21,no_fill,no_fill,80,35,100,0.0,,False,1.4,,69.2,260.0,2.588757651184928,,,,,,,,,,,,,,2025-08-22,2025-10-17,True,1.6,1.3999999999999997,1.3999999999999997,1.0,frozen_no_split_events
GOVX,2025-02-21,loss,stopped,60,44,85,22.0,0.0,False,38.62,1.5448,85.1,374.0,3.502040925219432,290,False,55.1,ok,2025-02-21,America/New_York,4h,1089,2024-10-24 04:00:00-04:00,2025-02-21 18:00:00-05:00,2024-10-24 04:00:00-04:00,2025-02-21 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-02-24,2025-04-21,True,1.67,38.623333333333335,1.5449333333333335,0.04,corrected
GWAV,2025-09-19,loss,stopped,55,65,100,14.2,0.0,False,6.2,6.2,94.1,276.0,2.5274359081600832,293,False,55.2,ok,2025-09-19,America/New_York,4h,1132,2025-05-22 08:00:00-04:00,2025-09-19 19:00:00-04:00,2025-05-22 08:00:00-04:00,2025-09-19 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-22,2025-11-14,True,7.03,6.199999999999999,6.199999999999999,1.0,no_post_signal_split
HFFG,2025-10-24,loss,stopped,50,30,50,16.5,0.0,False,2.39,,52.3,188.0,1.1617897068468905,258,True,45.9,ok,2025-10-24,America/New_York,4h,753,2025-06-26 09:00:00-04:00,2025-10-24 16:00:00-04:00,2025-06-26 08:00:00-04:00,2025-10-24 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-27,2025-12-22,True,2.35,2.39,2.39,1.0,frozen_no_split_events
HUMA,2025-03-21,loss,stopped,70,20,85,-16.7,0.0,False,2.83,,66.7,102.0,3.7226250906453915,308,False,59.7,ok,2025-03-21,America/New_York,4h,1090,2024-11-21 07:00:00-05:00,2025-03-21 19:00:00-04:00,2024-11-21 04:00:00-05:00,2025-03-21 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-24,2025-05-19,True,3.32,2.8333333333333335,2.8333333333333335,1.0,frozen_no_split_events
HUT,2025-04-11,no_fill,no_fill,60,27,65,0.0,,False,10.34,,61.9,109.0,3.1013162046026927,,,,,,,,,,,,,,2025-04-14,2025-06-10,True,12.16,10.34,10.34,1.0,frozen_no_split_events
IMNN,2025-12-01,loss,stopped,70,52,70,14.5,0.0,False,3.67,3.67,90.5,527.0,1.6389432784028908,294,False,50.7,ok,2025-12-01,America/New_York,4h,1034,2025-08-04 06:00:00-04:00,2025-12-01 16:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,3.93,3.6666666666666665,3.6666666666666665,1.0,no_post_signal_split
INAB,2025-07-10,open,survived,50,31,50,16.6,16.6,False,2.11,2.11,91.6,111.0,1.916461498834767,310,False,57.2,ok,2025-07-10,America/New_York,4h,1168,2025-03-12 04:00:00-04:00,2025-07-10 19:00:00-04:00,2025-03-12 04:00:00-04:00,2025-07-10 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-07-11,2025-09-05,True,2.29,2.11,2.11,1.0,no_post_signal_split
INSG,2025-08-07,no_fill,no_fill,60,29,60,0.0,,False,6.46,,64.8,162.0,2.3056129100051637,,,,,,,,,,,,,,2025-08-08,2025-10-03,True,7.28,6.460000000000001,6.460000000000001,1.0,frozen_no_split_events
IQST,2025-12-01,loss,stopped,50,24,50,9.9,9.9,False,3.98,4.0477,87.1,106.0,3.0295610731130687,277,True,46.2,ok,2025-12-01,America/New_York,4h,1008,2025-08-04 05:00:00-04:00,2025-12-01 18:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,4.21,3.98,4.04766,1.017,corrected
JAGX,2025-08-07,loss,stopped,60,44,50,22.7,1.8,False,69.58,1.988,94.0,197.0,1.4615857632901113,289,False,51.9,ok,2025-08-07,America/New_York,4h,1095,2025-04-09 04:00:00-04:00,2025-08-07 19:00:00-04:00,2025-04-09 04:00:00-04:00,2025-08-07 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-08,2025-10-03,True,2.1,69.57666666666667,1.9879047619047618,0.02857142857142857,corrected
JANX,2025-12-30,loss,stopped,50,5,45,9.3,9.3,False,14.17,,77.5,66.0,1.0219398601745209,288,True,41.1,ok,2025-12-30,America/New_York,4h,1019,2025-09-02 08:00:00-04:00,2025-12-30 18:00:00-05:00,2025-09-02 08:00:00-04:00,2025-12-30 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-31,2026-02-27,True,13.83,14.173333333333332,14.173333333333332,1.0,frozen_no_split_events
JFIN,2025-11-07,loss,stopped,50,32,45,2.6,0.0,False,8.61,,50.9,110.0,1.6642713944139358,275,True,47.3,ok,2025-11-07,America/New_York,4h,864,2025-07-10 08:00:00-04:00,2025-11-07 16:00:00-05:00,2025-07-10 08:00:00-04:00,2025-11-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-10,2026-01-07,True,9.02,8.61,8.61,1.0,frozen_no_split_events
JSPR,2025-08-14,loss,stopped,60,13,60,5.8,5.4,False,2.52,,88.4,63.0,3.4995921372238894,271,False,58.4,ok,2025-08-14,America/New_York,4h,961,2025-04-16 09:30:00-04:00,2025-08-14 19:00:00-04:00,2025-04-16 08:00:00-04:00,2025-08-14 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-15,2025-10-10,True,3.03,2.5233333333333334,2.5233333333333334,1.0,frozen_no_split_events
KYNB,2025-12-08,open,survived,55,35,65,9.8,6.3,False,8.23,8.23,61.9,105.0,1.1635177684642575,,,,no_1h_data,,,,,,,,,,2025-12-09,2026-02-05,True,8.36,8.229999999999999,8.229999999999999,1.0,no_post_signal_split
LEE,2025-07-02,loss,stopped,70,22,75,2.4,0.0,False,6.0,,67.6,107.0,1.7143100763053372,227,False,48.5,ok,2025-07-02,America/New_York,4h,634,2025-03-04 08:00:00-05:00,2025-07-02 18:00:00-04:00,2025-03-04 08:00:00-05:00,2025-07-02 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-07-03,2025-08-28,True,6.36,6.003333333333333,6.003333333333333,1.0,frozen_no_split_events
LFMD,2025-08-28,win,survived,70,7,85,19.4,19.4,False,6.13,,59.2,99.0,1.4585075293963816,321,True,49.6,ok,2025-08-28,America/New_York,4h,1199,2025-04-30 04:00:00-04:00,2025-08-28 19:00:00-04:00,2025-04-30 04:00:00-04:00,2025-08-28 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-29,2025-10-24,True,6.46,6.13,6.13,1.0,frozen_no_split_events
LITS,2025-10-03,loss,stopped,50,45,60,26.4,26.4,False,2.35,,71.6,212.0,2.787456122964824,64,False,44.5,ok,2025-10-03,America/New_York,4h,241,2025-09-11 04:00:00-04:00,2025-10-03 18:00:00-04:00,2025-09-11 04:00:00-04:00,2025-10-03 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-06,2025-12-01,True,2.56,2.35,2.35,1.0,frozen_no_split_events
LMB,2025-12-08,no_fill,no_fill,60,5,65,0.0,,False,67.03,,51.6,70.0,2.213478198673398,,,,,,,,,,,,,,2025-12-09,2026-02-05,True,74.559998,67.03000000000002,67.03000000000002,1.0,frozen_no_split_events
MBOT,2025-11-14,loss,stopped,60,27,75,28.0,2.0,False,2.0,,55.7,199.0,1.7875387902141187,338,False,46.5,ok,2025-11-14,America/New_York,4h,1388,2025-07-17 04:00:00-04:00,2025-11-14 18:00:00-05:00,2025-07-17 04:00:00-04:00,2025-11-14 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-17,2026-01-14,True,2.07,2.0,2.0,1.0,frozen_no_split_events
MIND,2025-04-21,no_fill,no_fill,50,29,70,0.0,,False,4.58,,52.6,120.0,3.140061697403567,,,,,,,,,,,,,,2025-04-22,2025-06-17,True,5.26,4.583333333333333,4.583333333333333,1.0,frozen_no_split_events
MSTR,2025-12-08,loss,stopped,60,26,65,18.7,18.7,False,160.28,160.28,59.8,121.0,2.552256449634674,334,False,51.2,ok,2025-12-08,America/New_York,4h,1384,2025-08-11 04:00:00-04:00,2025-12-08 18:00:00-05:00,2025-08-11 04:00:00-04:00,2025-12-08 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-09,2026-02-05,True,183.690002,160.28,160.28,1.0,no_post_signal_split
NCEL,2025-12-01,loss,stopped,70,44,75,11.3,0.0,False,3.15,3.15,89.7,137.0,2.999280529656791,70,False,51.0,ok,2025-12-01,America/New_York,4h,239,2025-10-31 09:00:00-04:00,2025-12-01 17:00:00-05:00,2025-10-31 08:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,3.7,3.1533333333333338,3.1533333333333338,1.0,no_post_signal_split
NEON,2025-12-01,loss,stopped,60,53,75,3.7,0.0,False,1.97,,92.8,366.0,2.590860922133607,305,False,49.5,ok,2025-12-01,America/New_York,4h,1097,2025-08-04 05:00:00-04:00,2025-12-01 18:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,2.15,1.9666666666666668,1.9666666666666668,1.0,frozen_no_split_events
NVAX,2025-04-21,no_fill,no_fill,50,34,45,0.0,,False,5.16,,74.8,369.0,2.8560028119214387,,,,,,,,,,,,,,2025-04-22,2025-06-17,True,6.01,5.16,5.16,1.0,frozen_no_split_events
NVCR,2025-08-21,no_fill,no_fill,60,23,60,0.0,,False,11.2,,65.1,112.0,1.6580542695229812,,,,,,,,,,,,,,2025-08-22,2025-10-17,True,11.91,11.196666666666667,11.196666666666667,1.0,frozen_no_split_events
PAYS,2025-09-05,win,survived,60,29,75,26.9,26.9,False,5.09,,40.9,102.0,1.2908432204361788,289,True,47.2,ok,2025-09-05,America/New_York,4h,1087,2025-05-08 08:00:00-04:00,2025-09-05 19:00:00-04:00,2025-05-08 08:00:00-04:00,2025-09-05 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-08,2025-10-31,True,5.25,5.090000000000001,5.090000000000001,1.0,frozen_no_split_events
PLCE,2025-03-14,loss,stopped,55,32,60,11.8,0.0,False,7.07,,57.6,262.0,2.9018785271824172,271,False,57.9,ok,2025-03-14,America/New_York,4h,897,2024-11-14 07:00:00-05:00,2025-03-14 19:00:00-04:00,2024-11-14 04:00:00-05:00,2025-03-14 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-17,2025-05-12,True,8.37,7.066666666666666,7.066666666666666,1.0,frozen_no_split_events
POWL,2025-03-14,no_fill,no_fill,60,5,80,0.0,,False,49.92,149.76,52.4,62.0,2.5578679704536644,,,,,,,,,,,,,,2025-03-17,2025-05-12,True,172.634663,49.92333333333334,149.77,3.0,corrected
PRCH,2025-12-01,loss,stopped,50,54,70,9.9,9.9,False,9.07,,52.0,183.0,1.5076143049280997,294,False,36.8,ok,2025-12-01,America/New_York,4h,1058,2025-08-04 04:00:00-04:00,2025-12-01 18:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,9.33,9.073333333333334,9.073333333333334,1.0,frozen_no_split_events
PRTH,2025-12-01,no_fill,no_fill,55,16,80,0.0,,False,4.57,,52.2,99.0,4.338437808759475,,,,,,,,,,,,,,2025-12-02,2026-01-29,True,5.96,4.573333333333334,4.573333333333334,1.0,frozen_no_split_events
PTLO,2025-09-05,loss,stopped,55,5,80,-0.6,0.0,False,6.87,,56.8,65.0,1.2745540417362455,286,False,40.0,ok,2025-09-05,America/New_York,4h,1076,2025-05-08 08:00:00-04:00,2025-09-05 19:00:00-04:00,2025-05-08 08:00:00-04:00,2025-09-05 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-08,2025-10-31,True,6.82,6.87,6.87,1.0,frozen_no_split_events
QTI,2025-11-21,loss,stopped,55,54,85,10.9,9.4,False,5.85,5.85,86.4,193.0,2.3608168130852887,,,,no_1h_data,,,,,,,,,,2025-11-24,2026-01-22,True,6.26,5.849999999999999,5.849999999999999,1.0,no_post_signal_split
QTTB,2025-01-15,win,stopped,90,29,85,16.2,16.2,False,3.08,,94.1,151.0,1.4032743482989647,269,False,44.6,ok,2025-01-15,America/New_York,4h,835,2024-09-17 09:30:00-04:00,2025-01-15 17:00:00-05:00,2024-09-17 08:00:00-04:00,2025-01-15 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-01-16,2025-03-14,True,3.2,3.08,3.08,1.0,frozen_no_split_events
QTTB,2025-03-21,loss,stopped,60,26,65,16.0,0.0,False,1.85,,96.2,151.0,2.4355822196989543,267,True,47.9,ok,2025-03-21,America/New_York,4h,893,2024-11-21 04:00:00-05:00,2025-03-21 18:00:00-04:00,2024-11-21 04:00:00-05:00,2025-03-21 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-24,2025-05-19,True,2.07,1.8533333333333335,1.8533333333333335,1.0,frozen_no_split_events
QURE,2025-12-22,no_fill,no_fill,60,77,100,0.0,,False,19.87,,65.1,368.0,4.206601865860687,,,,,,,,,,,,,,2025-12-23,2026-02-20,True,24.98,19.87,19.87,1.0,frozen_no_split_events
SKYE,2025-10-31,loss,stopped,70,37,90,8.1,8.1,False,1.35,,74.0,125.0,2.657553975536776,297,False,54.6,ok,2025-10-31,America/New_York,4h,1117,2025-07-03 07:00:00-04:00,2025-10-31 18:00:00-04:00,2025-07-03 04:00:00-04:00,2025-10-31 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-03,2025-12-30,True,1.55,1.3499999999999999,1.3499999999999999,1.0,frozen_no_split_events
