symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
ABTC,2025-12-30,loss,stopped,55,38,75,0.2,0.2,False,24.1,1.6067,88.3,900.0,1.7194180453410945,326,False,34.1,ok,2025-12-30,America/New_York,4h,1271,2025-09-02 16:00:00-04:00,2025-12-30 18:00:00-05:00,2025-09-02 16:00:00-04:00,2025-12-30 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-31,2026-02-27,True,1.72,24.099999999999998,1.6066666666666665,0.06666666666666667,corrected
ACIU,2025-04-28,no_fill,no_fill,55,19,65,0.0,,False,1.47,,65.8,111.0,3.3940016348612407,,,,,,,,,,,,,,2025-04-29,2025-06-25,True,1.7,1.4733333333333334,1.4733333333333334,1.0,frozen_no_split_events
AIFF,2025-11-21,loss,stopped,80,43,80,7.8,0.0,False,1.49,1.49,90.8,399.0,2.1871553659618512,292,True,43.7,ok,2025-11-21,America/New_York,4h,1119,2025-07-24 07:00:00-04:00,2025-11-21 17:00:00-05:00,2025-07-24 04:00:00-04:00,2025-11-21 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-24,2026-01-22,True,1.58,1.4933333333333334,1.4933333333333334,1.0,no_post_signal_split
AIXC,2025-08-21,win,survived,60,21,70,430.7,430.7,True,1.66,1.66,83.1,161.0,2.8887525410649104,,,,no_1h_data,,,,,,,,,,2025-08-22,2025-10-17,True,1.83,1.6600000000000001,1.6600000000000001,1.0,no_post_signal_split
AKBA,2025-12-01,win,stopped,50,5,45,12.8,12.8,False,1.53,,63.0,72.0,1.061653180325091,290,True,38.0,ok,2025-12-01,America/New_York,4h,1102,2025-08-04 08:00:00-04:00,2025-12-01 18:00:00-05:00,2025-08-04 08:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,1.51,1.5333333333333332,1.5333333333333332,1.0,frozen_no_split_events
ALAR,2025-03-14,open,survived,70,43,65,37.5,37.5,False,6.04,,84.1,106.0,3.9245194876491536,303,False,50.3,ok,2025-03-14,America/New_York,4h,980,2024-11-14 07:00:00-05:00,2025-03-14 19:00:00-04:00,2024-11-14 04:00:00-05:00,2025-03-14 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-03-17,2025-05-12,True,7.44,6.036666666666666,6.036666666666666,1.0,frozen_no_split_events
ALAR,2025-12-22,loss,stopped,50,54,70,12.0,7.3,False,7.42,,58.0,106.0,1.419869221782625,292,False,41.1,ok,2025-12-22,America/New_York,4h,893,2025-08-25 05:00:00-04:00,2025-12-22 16:00:00-05:00,2025-08-25 04:00:00-04:00,2025-12-22 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-23,2026-02-20,True,7.56,7.416666666666667,7.416666666666667,1.0,frozen_no_split_events
AMBR,2025-11-07,loss,stopped,60,60,70,80.6,3.7,True,1.75,,86.7,170.0,1.1242606500372805,288,True,40.4,ok,2025-11-07,America/New_York,4h,892,2025-07-10 07:00:00-04:00,2025-11-07 16:00:00-05:00,2025-07-10 04:00:00-04:00,2025-11-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-10,2026-01-07,True,1.74,1.75,1.75,1.0,frozen_no_split_events
AOSL,2025-12-08,no_fill,no_fill,55,15,75,0.0,,False,17.53,,59.4,86.0,3.9673220224339825,,,,,,,,,,,,,,2025-12-09,2026-02-05,True,21.66,17.529999999999998,17.529999999999998,1.0,frozen_no_split_events
ARTL,2025-12-08,loss,stopped,60,50,85,19.9,13.1,False,4.7,1.5667,93.7,394.0,2.8483173803355335,275,False,50.9,ok,2025-12-08,America/New_York,4h,937,2025-08-11 08:00:00-04:00,2025-12-08 18:00:00-05:00,2025-08-11 08:00:00-04:00,2025-12-08 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-09,2026-02-05,True,1.8,4.7,1.5666666666666667,0.3333333333333333,corrected
