year,symbol,date,entry,stop,t1,outcome,ret_a,tier,n_soft,readiness,behav_score,score,fwd_max_gain,max_draw_pct,exploded,mg_outcome,mg_pre_stop,mg_peak_day,entry_model,fill_reason_sweep,outcome_sweep,entry_sweep,ret_sweep_a,price_bucket,killed_explosion
2025,DOGZ,2025-05-09,14.53,13.12,18.0,loss,-9.7,B,3,60,50,75,92.7,-40.6,True,stopped,0.0,0.0,sweep_confirmed,rr_too_low,rr_too_low,16.4,,5-15,1
2025,DOGZ,2025-08-06,7.64,6.9,9.0,win,17.7,B,3,60,47,60,117.1,-10.9,True,stopped,117.1,7.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,DRMA,2025-05-02,7.11,6.42,9.9,loss,-9.7,B,3,55,41,90,12.6,-19.2,False,stopped,12.6,6.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,DRMA,2025-12-12,2.41,2.18,2.98,loss,-9.7,B,3,60,36,75,93.4,-40.2,True,stopped,0.4,1.0,sweep_confirmed,filled,loss,2.37,-8.2,2-5,1
2025,DUOL,2025-11-28,171.26,154.63,215.24,loss,-9.7,B,3,70,5,75,4.5,-17.0,False,stopped,4.5,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,EDBL,2025-09-25,778.68,703.08,948.51,loss,-9.7,B,3,55,69,90,3.4,-39.0,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,EMPD,2025-12-19,4.26,3.85,5.24,loss,-9.7,B,3,50,50,45,22.0,-25.3,False,stopped,22.0,24.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,EVGO,2025-02-12,2.75,2.48,3.12,loss,-9.7,B,3,55,42,90,11.1,-20.2,False,stopped,3.6,2.0,sweep_confirmed,filled,loss,2.67,-7.1,2-5,0
2025,EVGO,2025-11-28,2.86,2.59,3.59,open,16.3,B,3,50,39,65,16.6,-0.1,False,survived,16.6,18.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,FCEL,2025-05-02,3.78,3.41,4.5,win,19.0,B,3,60,27,65,112.4,-5.3,True,survived,112.4,24.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,FEED,2025-09-11,4.85,4.38,6.76,open,-1.0,B,3,70,57,70,5.2,-4.6,False,survived,5.2,2.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,FHTX,2025-01-22,4.25,3.84,5.0,win,17.6,B,3,60,14,55,56.6,-9.2,True,survived,56.6,17.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,FNGR,2025-08-20,1.4,1.26,1.75,no_fill,,B,3,80,35,100,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2025,FTEK,2025-12-29,1.54,1.4,1.88,loss,-9.6,B,3,50,33,45,13.4,-19.0,False,stopped,13.4,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,<2,0
2025,GNPX,2025-03-13,15.76,14.23,20.0,loss,-9.7,B,3,80,59,70,38.6,-30.2,False,stopped,0.0,0.0,sweep_confirmed,rr_too_low,rr_too_low,21.6,,>15,0
2025,GOVX,2025-02-20,38.62,34.88,45.0,loss,-9.7,B,3,50,44,60,22.0,-52.7,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,GOVX,2025-12-12,9.4,8.49,11.27,loss,-9.7,B,3,60,36,95,-6.3,-73.4,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,GWAV,2025-09-18,6.2,5.6,7.72,loss,-9.7,B,2,90,65,100,14.2,-11.6,False,stopped,0.0,0.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,HFFG,2025-11-06,2.16,1.95,2.66,open,4.0,B,2,70,29,90,10.9,-2.9,False,survived,5.9,3.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,HIMX,2025-04-17,5.5,4.97,6.81,no_fill,,B,3,50,7,45,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,HNST,2025-10-09,3.59,3.25,4.17,loss,-30.4,B,3,70,21,70,4.1,-35.9,False,stopped,3.2,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,HUMA,2025-03-20,2.83,2.56,3.5,loss,-28.7,B,3,60,21,75,-20.2,-59.4,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,HUMA,2025-09-11,1.42,1.28,1.73,loss,-9.6,B,3,60,50,85,4.9,-11.3,False,stopped,0.0,0.0,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2025,HUT,2025-04-10,10.34,9.34,12.94,no_fill,,B,3,60,27,65,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,IMNN,2025-11-28,3.67,3.31,4.5,loss,-9.7,B,3,80,52,80,14.5,-18.5,False,stopped,0.0,0.0,sweep_confirmed,filled,loss,3.63,-8.8,2-5,0
2025,INAB,2025-07-09,2.11,1.91,2.89,open,3.3,B,3,50,31,50,16.6,-6.2,False,survived,16.6,11.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,INLF,2025-12-09,1779.84,1607.04,2227.2,loss,-9.7,B,3,60,27,95,155.3,-36.2,True,stopped,4.8,3.0,sweep_confirmed,filled,loss,1728.0,-7.0,>15,1
2025,INO,2025-11-28,1.77,1.6,2.35,loss,-9.6,B,3,60,29,65,9.6,-16.9,False,stopped,5.1,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,<2,0
2025,JAGX,2025-08-06,69.58,62.82,85.0,loss,-9.7,B,2,60,44,50,22.7,-21.0,False,stopped,1.8,1.0,sweep_confirmed,filled,win,69.3,22.7,>15,0
2025,JANX,2025-12-29,14.17,12.8,15.58,loss,-9.7,B,3,50,5,45,9.3,-14.5,False,stopped,9.3,16.0,sweep_confirmed,reclaim_at_end,reclaim_at_end,13.8,,5-15,0
2025,JSPR,2025-02-05,5.41,4.88,8.0,loss,-9.8,B,2,55,5,65,22.4,-26.7,False,stopped,0.0,0.0,sweep_confirmed,filled,loss,5.49,-11.1,5-15,0
2025,JSPR,2025-08-20,2.52,2.28,3.15,loss,-9.7,B,3,50,13,65,5.8,-12.2,False,stopped,5.4,1.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,KEQU,2025-04-25,32.14,29.02,38.8,win,20.7,B,3,70,5,75,30.2,-5.6,False,survived,30.2,25.0,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,KRRO,2025-12-05,5.36,4.84,12.76,no_fill,,B,2,80,70,85,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,KYNB,2025-12-05,8.23,7.43,9.16,open,-4.5,B,3,75,35,80,9.8,-9.1,False,survived,6.3,3.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,LASE,2025-03-06,3.3,2.98,4.3,loss,-9.7,B,3,60,31,60,11.3,-30.3,False,stopped,11.3,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,LFVN,2025-10-16,8.86,8.0,10.0,loss,-9.7,B,3,50,14,45,1.3,-34.0,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,LITS,2025-10-09,2.35,2.12,2.99,loss,-9.8,B,2,60,44,75,-0.4,-30.6,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,LMB,2025-12-05,67.03,60.52,80.0,no_fill,,B,3,70,5,85,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,LPTH,2025-04-17,1.66,1.5,2.26,no_fill,,B,3,70,39,90,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2025,MBOT,2025-11-13,2.0,1.8,2.35,loss,-9.8,B,3,50,27,45,28.0,-15.0,False,stopped,3.5,1.0,sweep_confirmed,rr_too_low,rr_too_low,2.29,,2-5,0
2025,MSTR,2025-12-05,160.28,144.72,193.53,loss,-9.7,B,3,60,26,65,18.7,-24.4,False,stopped,18.7,17.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,NCEL,2025-11-28,3.15,2.85,4.74,loss,-9.7,B,2,90,44,100,11.3,-40.1,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,NEON,2025-10-09,3.34,3.01,4.3,loss,-9.8,B,2,70,55,85,4.3,-42.8,False,stopped,3.4,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,NEXM,2025-11-28,3.47,3.13,4.3,win,23.9,B,3,60,22,60,35.7,-2.9,False,survived,35.7,27.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,NVCR,2025-08-20,11.2,10.11,12.73,no_fill,,B,3,60,23,60,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,NVNO,2025-09-18,24.19,21.84,36.05,loss,-9.7,B,2,90,14,100,10.4,-11.7,False,stopped,8.5,1.0,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,ODD,2025-11-20,36.83,33.26,42.81,loss,-9.7,B,3,55,6,85,5.8,-10.2,False,stopped,5.8,1.0,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,PDEX,2025-11-13,24.17,21.83,35.75,no_fill,,B,3,55,6,85,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,POWL,2025-03-13,49.92,45.08,62.32,no_fill,,B,3,50,5,65,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,>15,0
