symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
QUBT,2026-04-13,no_fill,no_fill,55,47,100,0.0,,False,6.37,,71.9,911.0,2.6373317922863753,,,,,,,,,,,,,,2026-04-14,2026-06-09,True,7.27,6.366666666666667,6.366666666666667,1.0,frozen_no_split_events
RAIL,2026-04-06,open,survived,90,21,95,10.5,6.3,False,7.89,,43.3,159.0,1.709736044605761,264,False,60.5,ok,2026-04-06,America/New_York,4h,831,2025-12-08 08:00:00-05:00,2026-04-06 18:00:00-04:00,2025-12-08 08:00:00-05:00,2026-04-06 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,8.45,7.890000000000001,7.890000000000001,1.0,frozen_no_split_events
RGTI,2026-04-13,no_fill,no_fill,55,56,100,0.0,,False,12.91,,74.0,756.0,3.5757689519899554,,,,,,,,,,,,,,2026-04-14,2026-06-09,True,15.13,12.906666666666666,12.906666666666666,1.0,frozen_no_split_events
RIGL,2026-03-27,win,survived,60,44,80,29.1,29.1,False,25.7,25.7,50.6,111.0,1.1776490428927184,294,False,44.6,ok,2026-03-27,America/New_York,4h,947,2025-11-28 04:00:00-05:00,2026-03-27 16:00:00-04:00,2025-11-28 04:00:00-05:00,2026-03-27 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-30,2026-05-26,True,25.809999,25.7,25.7,1.0,no_post_signal_split
SCLX,2026-02-20,win,stopped,55,43,90,22.0,22.0,False,4.99,8.0139,76.3,200.0,1.481506825916883,259,True,45.2,ok,2026-02-20,America/New_York,4h,895,2025-10-23 07:00:00-04:00,2026-02-20 16:00:00-05:00,2025-10-23 04:00:00-04:00,2026-02-20 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-23,2026-04-20,True,8.12,4.986666666666667,8.008586666666668,1.606,corrected
SDST,2026-04-13,loss,stopped,55,81,100,23.2,3.5,False,2.18,2.18,67.7,244.0,3.8578157270310074,280,False,53.4,ok,2026-04-13,America/New_York,4h,895,2025-12-15 08:00:00-05:00,2026-04-13 16:00:00-04:00,2025-12-15 08:00:00-05:00,2026-04-13 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-14,2026-06-09,True,2.72,2.1833333333333336,2.1833333333333336,1.0,no_post_signal_split
SGHT,2026-03-27,win,survived,70,28,70,61.3,61.3,True,3.51,,58.0,124.0,2.8048427041324775,243,True,52.5,ok,2026-03-27,America/New_York,4h,727,2025-11-28 08:00:00-05:00,2026-03-27 17:00:00-04:00,2025-11-28 08:00:00-05:00,2026-03-27 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-30,2026-05-26,True,3.88,3.51,3.51,1.0,frozen_no_split_events
SNWV,2026-04-13,win,stopped,70,6,80,19.8,19.8,False,16.76,,63.0,77.0,1.2032663222142503,233,True,44.5,ok,2026-04-13,America/New_York,4h,695,2025-12-15 08:00:00-05:00,2026-04-13 16:00:00-04:00,2025-12-15 08:00:00-05:00,2026-04-13 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-14,2026-06-09,True,17.23,16.76,16.76,1.0,frozen_no_split_events
SOUN,2026-02-20,loss,stopped,50,24,60,15.2,9.9,False,7.25,,64.7,224.0,1.8782013849852621,328,False,52.7,ok,2026-02-20,America/New_York,4h,1308,2025-10-23 04:00:00-04:00,2026-02-20 18:00:00-05:00,2025-10-23 04:00:00-04:00,2026-02-20 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-23,2026-04-20,True,7.82,7.25,7.25,1.0,frozen_no_split_events
SPRC,2026-01-07,loss,stopped,70,64,100,8.7,0.0,False,11.59,1.2878,96.0,412.0,3.3702882483370256,304,True,56.5,ok,2026-01-07,America/New_York,4h,1134,2025-09-09 06:00:00-04:00,2026-01-07 18:00:00-05:00,2025-09-09 04:00:00-04:00,2026-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-08,2026-03-06,True,1.51,11.589999999999998,1.2877777777777775,0.1111111111111111,corrected
TDUP,2026-02-12,win,stopped,50,52,60,14.9,14.9,False,4.55,,63.4,228.0,1.0090356259193067,276,False,36.0,ok,2026-02-12,America/New_York,4h,981,2025-10-15 08:00:00-04:00,2026-02-12 18:00:00-05:00,2025-10-15 08:00:00-04:00,2026-02-12 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-13,2026-04-13,True,4.5,4.553333333333334,4.553333333333334,1.0,frozen_no_split_events
VALN,2026-04-20,loss,stopped,55,7,80,12.4,0.0,False,5.99,,50.7,95.0,1.51889760705559,290,False,46.9,ok,2026-04-20,America/New_York,4h,739,2025-12-22 04:00:00-05:00,2026-04-20 16:00:00-04:00,2025-12-22 04:00:00-05:00,2026-04-20 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-21,2026-06-16,True,6.04,5.986666666666667,5.986666666666667,1.0,frozen_no_split_events
VERI,2026-02-27,win,stopped,50,41,65,18.7,18.7,False,2.81,,70.1,151.0,1.4065215610237602,311,True,39.3,ok,2026-02-27,America/New_York,4h,1149,2025-10-30 04:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,2.82,2.81,2.81,1.0,frozen_no_split_events
VRDN,2026-05-04,no_fill,no_fill,80,14,90,0.0,,False,13.58,,59.0,80.0,2.0566213777737135,,,,,,,,,,,,,,2026-05-05,2026-07-01,True,14.06,13.576666666666666,13.576666666666666,1.0,frozen_no_split_events
WKHS,2026-03-20,loss,stopped,50,54,60,36.6,5.4,False,3.12,3.12,95.2,358.0,1.6550809532022863,273,True,47.9,ok,2026-03-20,America/New_York,4h,1002,2025-11-20 04:00:00-05:00,2026-03-20 19:00:00-04:00,2025-11-20 04:00:00-05:00,2026-03-20 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-23,2026-05-18,True,3.24,3.1199999999999997,3.1199999999999997,1.0,no_post_signal_split
XFOR,2026-02-27,no_fill,no_fill,60,52,65,0.0,,False,2.91,2.91,72.7,223.0,2.8667370170410424,,,,,,,,,,,,,,2026-03-02,2026-04-27,True,3.44,2.9133333333333336,2.9133333333333336,1.0,no_post_signal_split
XGN,2026-02-20,win,stopped,90,25,95,23.3,23.3,False,3.24,,72.1,108.0,1.487253447759889,250,True,51.4,ok,2026-02-20,America/New_York,4h,743,2025-10-23 09:30:00-04:00,2026-02-20 16:00:00-05:00,2025-10-23 08:00:00-04:00,2026-02-20 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-23,2026-04-20,True,3.41,3.2433333333333336,3.2433333333333336,1.0,frozen_no_split_events
