symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
CLPT,2026-04-06,win,survived,50,51,80,53.4,53.4,True,8.86,,68.8,183.0,2.3781912339946683,323,True,56.1,ok,2026-04-06,America/New_York,4h,1092,2025-12-08 07:00:00-05:00,2026-04-06 19:00:00-04:00,2025-12-08 04:00:00-05:00,2026-04-06 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,9.38,8.86,8.86,1.0,frozen_no_split_events
CRBP,2026-01-07,win,survived,55,6,90,21.8,21.8,False,7.86,,59.0,74.0,2.0808797558803063,288,True,60.5,ok,2026-01-07,America/New_York,4h,1026,2025-09-09 09:30:00-04:00,2026-01-07 18:00:00-05:00,2025-09-09 08:00:00-04:00,2026-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-08,2026-03-06,True,8.42,7.859999999999999,7.859999999999999,1.0,frozen_no_split_events
CRVO,2026-02-20,loss,stopped,60,25,65,13.0,0.0,False,4.53,,72.7,574.0,2.5570781433599,249,True,50.3,ok,2026-02-20,America/New_York,4h,845,2025-10-23 08:00:00-04:00,2026-02-20 18:00:00-05:00,2025-10-23 08:00:00-04:00,2026-02-20 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-23,2026-04-20,True,4.63,4.53,4.53,1.0,frozen_no_split_events
CYCU,2026-03-02,loss,stopped,60,54,70,7.8,7.8,False,1.66,1.66,94.1,170.0,1.1677935804304969,285,True,49.0,ok,2026-03-02,America/New_York,4h,1013,2025-11-03 05:00:00-05:00,2026-03-02 17:00:00-05:00,2025-11-03 04:00:00-05:00,2026-03-02 16:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-03,2026-04-28,True,1.7,1.6600000000000001,1.6600000000000001,1.0,no_post_signal_split
CYN,2026-02-27,no_fill,no_fill,70,74,100,0.0,,False,1.37,1.37,96.3,308.0,2.6481041627592017,,,,,,,,,,,,,,2026-03-02,2026-04-27,True,1.53,1.37,1.37,1.0,no_post_signal_split
DOGZ,2026-03-06,no_fill,no_fill,65,62,90,0.0,,False,1.05,,95.6,181.0,6.508874601019267,,,,,,,,,,,,,,2026-03-09,2026-05-04,True,1.53,1.05,1.05,1.0,frozen_no_split_events
DWTX,2026-05-11,open,survived,60,24,65,9.8,9.8,False,1.32,1.32,82.2,830.0,5.0154310690729185,301,False,53.9,ok,2026-05-11,America/New_York,4h,892,2026-01-12 08:00:00-05:00,2026-05-11 18:00:00-04:00,2026-01-12 08:00:00-05:00,2026-05-11 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-05-12,2026-07-09,True,1.69,1.32,1.32,1.0,no_post_signal_split
ENVB,2026-03-13,win,survived,60,68,80,320.6,320.6,True,1.87,1.87,91.4,137.0,1.5866080652763783,284,False,39.6,ok,2026-03-13,America/New_York,4h,946,2025-11-13 08:00:00-05:00,2026-03-13 16:00:00-04:00,2025-11-13 08:00:00-05:00,2026-03-13 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-16,2026-05-11,True,1.9,1.8733333333333333,1.8733333333333333,1.0,no_post_signal_split
EOSE,2026-04-06,win,survived,50,56,75,122.0,122.0,True,4.5,,75.6,202.0,2.2941035921964446,344,False,46.3,ok,2026-04-06,America/New_York,4h,1303,2025-12-08 04:00:00-05:00,2026-04-06 19:00:00-04:00,2025-12-08 04:00:00-05:00,2026-04-06 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,4.84,4.5,4.5,1.0,frozen_no_split_events
EVGO,2026-04-06,no_fill,no_fill,70,39,75,0.0,,False,1.69,,64.3,133.0,2.3665046633288687,,,,,,,,,,,,,,2026-04-07,2026-06-02,True,1.85,1.6900000000000002,1.6900000000000002,1.0,frozen_no_split_events
