symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi
MBOT,2025-11-14,loss,stopped,60,27,75,28.0,2.0,False,2.0,,55.7,199.0,1.7875387902141187,340,False,46.5
MIND,2025-04-21,no_fill,no_fill,50,29,70,0.0,,False,4.58,,52.6,120.0,3.140061697403567,,,
MSTR,2025-12-08,loss,stopped,60,26,65,18.7,18.7,False,160.28,160.28,59.8,121.0,2.552256449634674,335,False,51.2
NCEL,2025-12-01,loss,stopped,70,44,75,11.3,0.0,False,3.15,3.15,89.7,137.0,2.999280529656791,70,False,51.0
NEON,2025-12-01,loss,stopped,60,53,75,3.7,0.0,False,1.97,,92.8,366.0,2.590860922133607,305,False,49.5
NVAX,2025-04-21,no_fill,no_fill,50,34,45,0.0,,False,5.16,,74.8,369.0,2.8560028119214387,,,
NVCR,2025-08-21,no_fill,no_fill,60,23,60,0.0,,False,11.2,,65.1,112.0,1.6580542695229812,,,
PAYS,2025-09-05,win,survived,60,29,75,26.9,26.9,False,5.09,,40.9,102.0,1.2908432204361788,288,True,47.2
PLCE,2025-03-14,loss,stopped,55,32,60,11.8,0.0,False,7.07,,57.6,262.0,2.9018785271824172,270,False,57.5
POWL,2025-03-14,no_fill,no_fill,60,5,80,0.0,,False,49.92,149.76,52.4,62.0,2.5578679704536644,,,
PRCH,2025-12-01,loss,stopped,50,54,70,9.9,9.9,False,9.07,,52.0,183.0,1.5076143049280997,296,False,36.8
PRTH,2025-12-01,no_fill,no_fill,55,16,80,0.0,,False,4.57,,52.2,99.0,4.338437808759475,,,
PTLO,2025-09-05,loss,stopped,55,5,80,-0.6,0.0,False,6.87,,56.8,65.0,1.2745540417362455,286,False,40.0
QTI,2025-11-21,loss,stopped,55,54,85,10.9,9.4,False,5.85,5.85,86.4,193.0,2.3608168130852887,,,
QTTB,2025-01-15,win,stopped,90,29,85,16.2,16.2,False,3.08,,94.1,151.0,1.4032743482989647,269,False,44.6
QTTB,2025-03-21,loss,stopped,60,26,65,16.0,0.0,False,1.85,,96.2,151.0,2.4355822196989543,267,False,45.4
QURE,2025-12-22,no_fill,no_fill,60,77,100,0.0,,False,19.87,,65.1,368.0,4.206601865860687,,,
SKYE,2025-10-31,loss,stopped,70,37,90,8.1,8.1,False,1.35,,74.0,125.0,2.657553975536776,299,False,55.7
SLXN,2025-10-03,loss,stopped,80,35,85,6.3,6.3,False,33.48,3.348,93.8,1560.0,4.140388104683699,290,False,54.6
STRZ,2025-11-24,win,survived,70,25,65,31.6,31.6,False,9.9,,52.3,101.0,2.181364187713591,257,False,52.4
TECX,2025-10-03,win,survived,60,42,70,75.4,75.4,True,14.82,14.82,75.0,1138.0,1.9620125418849919,259,False,44.8
