symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry
ABTC,2025-12-30,loss,stopped,55,38,75,0.2,0.2,False,24.1,1.6067
ACIU,2025-04-28,no_fill,no_fill,55,19,65,0.0,,False,1.47,
AIFF,2025-11-21,loss,stopped,80,43,80,7.8,0.0,False,1.49,1.49
AIXC,2025-08-21,win,survived,60,21,70,430.7,430.7,True,1.66,1.66
AKBA,2025-12-01,win,stopped,50,5,45,12.8,12.8,False,1.53,
ALAR,2025-03-14,open,survived,70,43,65,37.5,37.5,False,6.04,
ALAR,2025-12-22,loss,stopped,50,54,70,12.0,7.3,False,7.42,
AMBR,2025-11-07,loss,stopped,60,60,70,80.6,3.7,True,1.75,
AOSL,2025-12-08,no_fill,no_fill,55,15,75,0.0,,False,17.53,
ARTL,2025-12-08,loss,stopped,60,50,85,19.9,13.1,False,4.7,1.5667
ATOM,2025-08-28,win,stopped,50,39,60,67.2,67.2,True,3.2,
AUR,2025-12-01,no_fill,no_fill,50,18,50,0.0,,False,3.71,
AXGN,2025-06-25,no_fill,no_fill,60,13,50,0.0,,False,9.5,
BIRD,2025-09-12,win,survived,60,30,65,50.6,50.6,True,6.11,6.11
BMBL,2025-12-01,no_fill,no_fill,70,13,80,0.0,,False,3.28,
BMGL,2025-10-20,loss,stopped,60,34,85,5.9,4.6,False,17.67,1.4725
BRAG,2025-09-05,win,stopped,55,5,60,19.9,19.9,False,2.67,
BTDR,2025-12-22,loss,stopped,50,46,65,1.3,0.0,False,9.94,
CING,2025-03-21,win,survived,70,51,90,29.0,29.0,False,3.57,3.57
CLPT,2025-12-08,win,survived,60,56,100,23.8,23.8,False,13.39,
CMMB,2025-09-26,open,survived,60,29,55,13.0,3.3,False,2.46,2.46
CNVS,2025-09-26,loss,stopped,70,33,75,7.7,3.7,False,3.3,
CRNT,2025-03-14,loss,stopped,80,7,95,2.9,0.8,False,2.43,
CRWV,2025-12-05,win,survived,55,31,100,70.4,70.4,True,67.18,
DOGZ,2025-05-12,loss,stopped,60,50,75,92.7,0.0,True,14.53,
DOGZ,2025-07-31,win,stopped,50,47,65,115.4,115.4,True,7.7,
EVGO,2025-02-13,loss,stopped,55,42,85,11.1,3.6,False,2.75,
EVGO,2025-12-01,open,survived,60,39,75,17.0,17.0,False,2.86,
FCEL,2025-05-05,win,survived,60,27,65,112.4,112.4,True,3.78,3.78
FNGR,2025-08-21,no_fill,no_fill,80,35,100,0.0,,False,1.4,
GOVX,2025-02-21,loss,stopped,60,44,85,22.0,0.0,False,38.62,1.5448
GWAV,2025-09-19,loss,stopped,55,65,100,14.2,0.0,False,6.2,6.2
HFFG,2025-10-24,loss,stopped,50,30,50,16.5,0.0,False,2.39,
HUMA,2025-03-21,loss,stopped,70,20,85,-16.7,0.0,False,2.83,
HUT,2025-04-11,no_fill,no_fill,60,27,65,0.0,,False,10.34,
IMNN,2025-12-01,loss,stopped,70,52,70,14.5,0.0,False,3.67,3.67
INAB,2025-07-10,open,survived,50,31,50,16.6,16.6,False,2.11,2.11
INSG,2025-08-07,no_fill,no_fill,60,29,60,0.0,,False,6.46,
IQST,2025-12-01,loss,stopped,50,24,50,9.9,9.9,False,3.98,4.0477
JAGX,2025-08-07,loss,stopped,60,44,50,22.7,1.8,False,69.58,1.988
JANX,2025-12-30,loss,stopped,50,5,45,9.3,9.3,False,14.17,
JFIN,2025-11-07,loss,stopped,50,32,45,2.6,0.0,False,8.61,
JSPR,2025-08-14,loss,stopped,60,13,60,5.8,5.4,False,2.52,
KYNB,2025-12-08,open,survived,55,35,65,9.8,6.3,False,8.23,8.23
LEE,2025-07-02,loss,stopped,70,22,75,2.4,0.0,False,6.0,
LFMD,2025-08-28,win,survived,70,7,85,19.4,19.4,False,6.13,
LITS,2025-10-03,loss,stopped,50,45,60,26.4,26.4,False,2.35,
LMB,2025-12-08,no_fill,no_fill,60,5,65,0.0,,False,67.03,
MBOT,2025-11-14,loss,stopped,60,27,75,28.0,2.0,False,2.0,
MIND,2025-04-21,no_fill,no_fill,50,29,70,0.0,,False,4.58,
MSTR,2025-12-08,loss,stopped,60,26,65,18.7,18.7,False,160.28,160.28
NCEL,2025-12-01,loss,stopped,70,44,75,11.3,0.0,False,3.15,3.15
NEON,2025-12-01,loss,stopped,60,53,75,3.7,0.0,False,1.97,
NVAX,2025-04-21,no_fill,no_fill,50,34,45,0.0,,False,5.16,
NVCR,2025-08-21,no_fill,no_fill,60,23,60,0.0,,False,11.2,
PAYS,2025-09-05,win,survived,60,29,75,26.9,26.9,False,5.09,
PLCE,2025-03-14,loss,stopped,55,32,60,11.8,0.0,False,7.07,
POWL,2025-03-14,no_fill,no_fill,60,5,80,0.0,,False,49.92,149.76
PRCH,2025-12-01,loss,stopped,50,54,70,9.9,9.9,False,9.07,
PRTH,2025-12-01,no_fill,no_fill,55,16,80,0.0,,False,4.57,
PTLO,2025-09-05,loss,stopped,55,5,80,-0.6,0.0,False,6.87,
QTI,2025-11-21,loss,stopped,55,54,85,10.9,9.4,False,5.85,5.85
QTTB,2025-01-15,win,stopped,90,29,85,16.2,16.2,False,3.08,
QTTB,2025-03-21,loss,stopped,60,26,65,16.0,0.0,False,1.85,
QURE,2025-12-22,no_fill,no_fill,60,77,100,0.0,,False,19.87,
SKYE,2025-10-31,loss,stopped,70,37,90,8.1,8.1,False,1.35,
SLXN,2025-10-03,loss,stopped,80,35,85,6.3,6.3,False,33.48,3.348
STRZ,2025-11-24,win,survived,70,25,65,31.6,31.6,False,9.9,
TECX,2025-10-03,win,survived,60,42,70,75.4,75.4,True,14.82,14.82
TNON,2025-01-07,loss,stopped,70,48,100,8.7,8.7,False,1.72,1.72
TRUG,2025-07-17,loss,stopped,60,51,75,15.0,15.0,False,51.5,5.15
TSSI,2025-12-22,win,survived,60,54,85,78.3,78.3,True,7.13,
TTD,2025-09-26,loss,stopped,60,5,70,3.6,2.5,False,44.39,
TTD,2025-12-22,loss,stopped,50,5,55,2.9,2.9,False,36.72,
TVRD,2025-11-21,win,survived,60,19,70,25.6,25.6,False,3.89,3.89
UPLD,2025-04-28,loss,stopped,60,27,60,5.1,0.0,False,21.12,2.112
UPLD,2025-06-25,win,survived,60,25,75,124.6,124.6,True,17.41,1.741
VERU,2025-12-01,open,survived,70,36,85,30.7,30.7,False,2.17,2.17
VIR,2025-04-21,loss,stopped,50,6,55,10.9,9.2,False,5.1,
VRCA,2025-10-17,loss,stopped,55,14,70,142.5,1.2,True,4.05,4.05
WBUY,2025-08-28,loss,stopped,60,83,95,27.7,27.7,False,2.82,2.82
WIMI,2025-12-01,loss,stopped,70,26,75,11.6,11.6,False,2.75,2.75
WOOF,2025-03-21,no_fill,no_fill,60,33,45,0.0,,False,2.35,
WRD,2025-12-01,no_fill,no_fill,70,28,85,0.0,,False,7.02,
XFOR,2025-05-27,loss,stopped,80,39,85,9.1,8.4,False,2.75,2.75
