symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi
NAGE,2026-02-27,win,stopped,60,18,50,18.4,18.4,False,4.88,,65.6,122.0,1.5896559169683573,259,True,45.9
NNE,2026-04-08,no_fill,no_fill,70,77,90,0.0,,False,19.5,,63.1,561.0,2.9022219532951805,,,
OCC,2026-01-14,no_fill,no_fill,60,51,80,0.0,,False,4.14,,62.6,183.0,1.4200298326134164,,,
OLMA,2026-04-06,loss,stopped,65,51,95,10.0,6.8,False,13.38,,58.2,327.0,2.4936500186264805,312,False,55.4
ORGO,2026-04-13,win,stopped,60,16,65,22.3,19.9,False,2.28,,66.4,102.0,1.957091551179403,276,False,49.8
PAYS,2026-02-27,win,survived,60,21,50,102.6,102.6,True,3.23,,60.0,102.0,2.448739185248024,247,False,51.8
PCT,2026-03-20,win,survived,50,18,55,152.0,152.0,True,5.27,,66.7,117.0,2.1041621576195206,307,False,52.7
PEPG,2026-04-27,win,survived,65,60,95,44.0,44.0,False,1.36,,79.5,407.0,3.172206606809952,298,False,50.0
PGY,2026-03-06,win,survived,60,7,65,43.8,43.8,False,10.83,,74.5,93.0,1.7800269658843855,324,False,48.5
PLCE,2026-04-06,win,survived,80,24,70,77.0,77.0,True,3.04,,63.4,262.0,2.731872246702232,262,False,56.4
PONY,2026-04-09,win,survived,50,25,45,32.9,32.9,False,8.49,,62.4,382.0,2.9183963312566368,345,False,50.4
PRCH,2026-03-06,no_fill,no_fill,55,50,95,0.0,,False,6.55,,59.8,183.0,3.0384136921834903,,,
PTON,2026-03-06,win,survived,50,6,50,45.5,45.5,False,3.86,,58.4,86.0,1.3217136774880247,303,False,34.4
QNRX,2026-03-06,loss,stopped,55,67,100,2.8,0.0,False,7.21,7.21,79.3,192.0,3.985714285714285,265,False,55.2
QUBT,2026-04-13,no_fill,no_fill,55,47,100,0.0,,False,6.37,,71.9,911.0,2.6373317922863753,,,
RAIL,2026-04-06,open,survived,90,21,95,10.5,6.3,False,7.89,,43.3,159.0,1.709736044605761,262,False,60.3
RGTI,2026-04-13,no_fill,no_fill,55,56,100,0.0,,False,12.91,,74.0,756.0,3.5757689519899554,,,
RIGL,2026-03-27,win,survived,60,44,80,29.1,29.1,False,25.7,25.7,50.6,111.0,1.1776490428927184,294,False,44.6
SCLX,2026-02-20,win,stopped,55,43,90,22.0,22.0,False,4.99,8.0139,76.3,200.0,1.481506825916883,256,True,44.9
SDST,2026-04-13,loss,stopped,55,81,100,23.2,3.5,False,2.18,2.18,67.7,244.0,3.8578157270310074,278,False,53.4
SGHT,2026-03-27,win,survived,70,28,70,61.3,61.3,True,3.51,,58.0,124.0,2.8048427041324775,239,True,52.5
SNWV,2026-04-13,win,stopped,70,6,80,19.8,19.8,False,16.76,,63.0,77.0,1.2032663222142503,230,True,44.3
SOUN,2026-02-20,loss,stopped,50,24,60,15.2,9.9,False,7.25,,64.7,224.0,1.8782013849852621,324,False,52.5
SPRC,2026-01-07,loss,stopped,70,64,100,8.7,0.0,False,11.59,1.2878,96.0,412.0,3.3702882483370256,306,True,56.5
TDUP,2026-02-12,win,stopped,50,52,60,14.9,14.9,False,4.55,,63.4,228.0,1.0090356259193067,273,False,35.2
VALN,2026-04-20,loss,stopped,55,7,80,12.4,0.0,False,5.99,,50.7,95.0,1.51889760705559,288,False,46.9
VERI,2026-02-27,win,stopped,50,41,65,18.7,18.7,False,2.81,,70.1,151.0,1.4065215610237602,307,True,39.2
VRDN,2026-05-04,no_fill,no_fill,80,14,90,0.0,,False,13.58,,59.0,80.0,2.0566213777737135,,,
WKHS,2026-03-20,loss,stopped,50,54,60,36.6,5.4,False,3.12,3.12,95.2,358.0,1.6550809532022863,270,True,45.2
XFOR,2026-02-27,no_fill,no_fill,60,52,65,0.0,,False,2.91,2.91,72.7,223.0,2.8667370170410424,,,
XGN,2026-02-20,win,stopped,90,25,95,23.3,23.3,False,3.24,,72.1,108.0,1.487253447759889,247,True,50.9
