symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi
ABAT,2026-04-06,no_fill,no_fill,60,64,55,0.0,,False,2.54,,75.6,366.0,2.911048243118422,,,
ABTC,2026-01-29,loss,stopped,50,37,55,0.4,0.0,False,22.87,1.5247,89.5,900.0,1.7937142669882027,328,True,44.0
AGMH,2026-01-29,loss,stopped,50,96,80,7.7,2.4,False,1.68,1.68,96.5,488.0,1.8281535154960205,273,False,40.8
APPS,2026-04-13,no_fill,no_fill,60,44,95,0.0,,False,2.82,,64.6,261.0,1.2877115946318407,,,
ARQQ,2026-02-27,loss,stopped,60,75,85,14.4,8.3,False,15.47,15.47,73.5,404.0,2.4110836728700233,310,True,49.6
BBNX,2026-03-19,loss,stopped,80,14,75,30.8,2.8,False,10.21,,67.0,76.0,1.7702945767197822,276,False,49.3
BIRD,2026-01-07,loss,stopped,65,25,90,11.7,11.7,False,3.98,3.98,65.4,126.0,4.428274923684646,264,False,58.6
BLZE,2026-02-20,loss,stopped,60,14,65,8.8,2.5,False,3.94,,59.5,72.0,2.6132664252227142,267,False,55.5
BTCS,2026-02-27,loss,stopped,60,54,85,36.4,0.0,False,1.5,,80.9,314.0,1.6955330594631683,296,False,52.1
BTOG,2026-02-27,loss,stopped,70,67,80,118.4,0.0,True,2.45,2.45,95.8,400.0,1.5215560521525442,294,True,40.1
BULL,2026-02-27,win,stopped,60,43,60,33.5,14.7,False,5.63,,92.7,466.0,1.2206147232359934,324,False,43.9
BYRN,2026-04-06,loss,stopped,60,23,80,10.9,10.9,False,9.01,,72.9,80.0,2.702329298926698,278,False,51.5
CAR,2026-03-13,no_fill,no_fill,55,5,70,0.0,,False,88.54,,52.7,61.0,2.49616129375463,,,
CLOV,2026-04-06,no_fill,no_fill,55,18,60,0.0,,False,1.63,,52.3,119.0,2.5638913053284047,,,
CLPT,2026-04-06,win,survived,50,51,80,53.4,53.4,True,8.86,,68.8,183.0,2.3781912339946683,319,True,56.1
CRBP,2026-01-07,win,survived,55,6,90,21.8,21.8,False,7.86,,59.0,74.0,2.0808797558803063,290,True,60.5
CRVO,2026-02-20,loss,stopped,60,25,65,13.0,0.0,False,4.53,,72.7,574.0,2.5570781433599,246,True,50.2
CYCU,2026-03-02,loss,stopped,60,54,70,7.8,7.8,False,1.66,1.66,94.1,170.0,1.1677935804304969,285,True,49.0
CYN,2026-02-27,no_fill,no_fill,70,74,100,0.0,,False,1.37,1.37,96.3,308.0,2.6481041627592017,,,
DOGZ,2026-03-06,no_fill,no_fill,65,62,90,0.0,,False,1.05,,95.6,181.0,6.508874601019267,,,
DWTX,2026-05-11,open,survived,60,24,65,9.8,9.8,False,1.32,1.32,82.2,830.0,5.0154310690729185,297,False,53.9
ENVB,2026-03-13,win,survived,60,68,80,320.6,320.6,True,1.87,1.87,91.4,137.0,1.5866080652763783,284,False,39.6
EOSE,2026-04-06,win,survived,50,56,75,122.0,122.0,True,4.5,,75.6,202.0,2.2941035921964446,340,False,46.3
EVGO,2026-04-06,no_fill,no_fill,70,39,75,0.0,,False,1.69,,64.3,133.0,2.3665046633288687,,,
FGNX,2026-03-20,loss,stopped,60,55,75,6.7,2.4,False,6.72,6.72,96.7,147.0,1.8883784512376296,261,False,45.1
FRMM,2026-01-22,loss,stopped,60,44,100,7.4,4.5,False,4.84,4.84,97.0,1116.0,1.918975820054373,,,
GALT,2026-02-05,win,stopped,50,28,45,23.1,23.1,False,2.84,,60.3,165.0,1.1815551158068163,256,False,40.8
GEOS,2026-02-27,open,survived,50,38,55,22.5,22.5,False,8.86,,69.3,226.0,2.3317875025996493,257,True,43.0
GNLX,2026-01-29,loss,stopped,55,30,65,16.6,0.0,False,2.59,,67.9,147.0,1.5989783998338647,260,False,40.9
HERE,2026-04-06,loss,stopped,50,67,65,2.8,0.0,False,2.98,,77.5,186.0,3.54083164514415,246,True,54.9
HIVE,2026-02-27,win,stopped,50,27,55,34.1,15.1,False,2.05,,72.7,114.0,1.3547416558727325,325,False,47.1
HOOD,2026-02-27,loss,stopped,60,5,70,30.9,4.6,False,71.3,,50.7,61.0,1.9796452301180218,324,False,47.0
JANX,2026-01-07,loss,stopped,65,5,95,13.4,13.4,False,13.66,,77.3,66.0,1.4455656585629113,290,True,53.6
JFIN,2026-01-07,open,survived,70,29,70,13.6,13.6,False,5.9,,63.7,110.0,2.4864297743042227,272,False,62.7
JL,2026-02-12,no_fill,no_fill,65,44,80,0.0,,False,1.54,1.54,51.1,1569.0,19.869858395144995,,,
KG,2026-01-14,no_fill,no_fill,55,25,60,0.0,,False,8.31,8.31,74.0,150.0,2.6090188340480696,,,
LNSR,2026-04-13,open,survived,65,6,80,11.7,11.7,False,5.49,,58.6,82.0,1.8945786260987854,248,True,53.6
MAZE,2026-04-27,loss,stopped,65,15,85,9.0,9.0,False,25.85,,50.7,90.0,1.6518745114250504,279,True,49.5
MCRB,2026-05-04,loss,stopped,50,68,70,18.4,15.4,False,6.76,6.76,74.3,125.0,4.334959245792075,262,False,46.6
MLCI,2026-04-13,loss,stopped,80,6,70,6.7,5.6,False,3.38,,53.2,81.0,3.2528563696935224,220,True,60.7
MNKD,2026-04-06,no_fill,no_fill,80,5,80,0.0,,False,2.3,,60.7,68.0,3.0219930592690605,,,
MTVA,2026-02-27,win,stopped,60,53,55,14.0,14.0,False,1.47,1.47,93.5,142.0,1.2322171540579019,283,False,40.7
