year,symbol,old_dates,new_dates,exact_date_overlap,old_Y_DISCOVERY,new_Y_DISCOVERY,discovery_agrees,old_Y_TRADABLE,new_Y_TRADABLE,tradable_agrees
2026,MNKD,2026-04-02,2026-04-06,False,False,False,True,False,False,True
2026,MTVA,2026-03-12,2026-02-27,False,False,False,True,False,False,True
2026,NAGE,2026-03-12,2026-02-27,False,False,False,True,False,False,True
2026,NNE,2026-04-08,2026-04-08,True,False,False,True,False,False,True
2026,OCC,2026-01-13,2026-01-14,False,False,False,True,False,False,True
2026,OLMA,2026-04-10,2026-04-06,False,False,False,True,False,False,True
2026,ORGO,2026-04-10,2026-04-13,False,False,False,True,False,False,True
2026,PAYS,2026-02-26,2026-02-27,False,True,True,True,True,True,True
2026,PCT,2026-03-26,2026-03-20,False,True,True,True,True,True,True
2026,PEPG,2026-05-01,2026-04-27,False,False,False,True,False,False,True
2026,PGY,2026-03-05,2026-03-06,False,False,False,True,False,False,True
2026,PONY,2026-04-09,2026-04-09,True,False,False,True,False,False,True
2026,PTON,2026-03-19,2026-03-06,False,False,False,True,False,False,True
2026,RAIL,2026-04-02,2026-04-06,False,False,False,True,False,False,True
2026,SCLX,2026-02-26,2026-02-20,False,False,False,True,False,False,True
2026,SDST,2026-04-10,2026-04-13,False,False,False,True,False,False,True
2026,SGHT,2026-03-26,2026-03-27,False,True,True,True,True,True,True
2026,SNWV,2026-04-13,2026-04-13,True,False,False,True,False,False,True
2026,TDUP,2026-02-11,2026-02-12,False,False,False,True,False,False,True
2026,VALN,2026-04-17,2026-04-20,False,False,False,True,False,False,True
2026,VERI,2026-03-05,2026-02-27,False,False,False,True,False,False,True
2026,WKHS,2026-01-06|2026-03-12,2026-03-20,False,False,False,True,False,False,True
2026,XGN,2026-01-06,2026-02-20,False,False,False,True,False,False,True
